tahun,nama_museum,jumlah
2011,Monumen Nasional,11371147500
2011,Sejarah Jakarta dan Prasasti,874080000
2011,Bahari,48152000
2011,Wayang,404978000
2011,Tekstil,106970000
2011,Seni Rupa dan Keramik,71932000
2011,Joang'45 dan M.H Thamrin,36740000
2011,Taman Arkeologi Pulau Onrust,31192000
