tahun,nama_museum,jumlah
2013,Museum Sejarah Jakarta,1278577500
2013,Museum Bahari,92516000
2013,Museum Joang'45 ,45699500
2013,Museum Wayang,770903250
2013,Taman Arkeologi Onrust,69467750
2013,Museum Tekstil,142471000
2013,Monumen Nasional,7327967750
2013,Museum Seni Rupa dan Keramik,259274000
